author_name,sentiment,compound_score,positive_score,negative_score,neutral_score,likes,reply_count,comment_text
@roczillacarley3208,Negative,-0.4003,0.272,0.436,0.291,1,0,Kia 44 lord bless her!
@xotaun,Negative,-0.7845,0.0,0.535,0.465,0,0,Wtf is wrong with dude with leather outfit…
@shattashawn,Positive,0.34,0.375,0.0,0.625,0,0,These men came to play
@niyafleming7473,Positive,0.9217,0.595,0.0,0.405,0,0,My Favorite Woman is the 2nd one she’s Beautiful and Intelligent and Strong
@Matt-vx7zp,Neutral,0.0,0.0,0.0,1.0,0,0,1:33:19
@yvettecalhoun4682,Neutral,0.0,0.0,0.0,1.0,1,0,The woman in pink is all over the place.
@scar9216,Positive,0.4404,0.172,0.0,0.828,0,0,"Talk to me nicely.  @Leather jacket guy😂😂
The guy need to chill up a little bit"
@boydbensonkayombo6741,Neutral,0.0,0.0,0.0,1.0,2,0,"The divorce lady she's   psychotic. 
She over explained her self without even answering anything."
@itslexitracy,Neutral,0.0,0.0,0.0,1.0,0,0,Waitttttttt the way leather jacket just came at greeen dressssss thoooo😭😭😭😭😭😭😭😭 i was not expecting all of thatttttt
@KingLamarQuinton,Negative,-0.4084,0.0,0.427,0.573,1,0,1:19:07 im sorry SHE IS WEIRD af
@commonmoore724,Positive,0.8439,0.532,0.0,0.468,1,0,"Bring back the green dress woman. Mature, Elegant, classy, self aware!"
@SchoolVideosGoHere,Negative,-0.128,0.08,0.118,0.802,0,0,"40:38 ""I need a daughter to take care of me""
This is actual a way more toxic mindset and thing to say than the dude trying to get freaky tonight. Wild no one is responding to it."
@Fifthelement203,Negative,-0.2052,0.062,0.088,0.85,1,0,1:24:00 POPPIN on cali cuz of height is insane. This why i dont feel no way when the tall brothers be runnnning through y’all. Keep being superficial n find out.
@SingAngel,Negative,-0.3924,0.0,0.228,0.772,0,0,"@1:23:20 Pasadena, CA 😅 Not Pasadena, TX (the reaction @1:23:24 😆)"
@starpennick8120,Negative,-0.5538,0.045,0.103,0.852,0,0,"I hate when the woman pop based off what they have on and say: ""that's not my style"" it's not supposed to be YOUR style it's HIS!!!🙄😒 hair and clothes can be changed. Give a chance to get to know the person....."
@KingLamarQuinton,Neutral,0.0129,0.035,0.034,0.931,1,0,1:16:06 🤦🏾‍♂️🤦🏾‍♂️ she just wants someone to pay her bills and have exclusive access to all your money 😂…PLUS she got the adoption hustle going on but she doesn’t consider that child HER FAMILY 😂😂
@BigDawg-r3e,Positive,0.7717,0.132,0.0,0.868,0,0,Arlette is better off bringing women in their mid to late 20s when the line up of men are over 40 years old. Understand that older men are not checking for women their age unless she is exceptional. Youth and beauty are what men are after.
@dialo1279,Negative,-0.1027,0.0,0.104,0.896,0,0,Dude in the pleather was popping them balloons hard and throwing them down 😂
@travisaustin827,Neutral,0.0,0.0,0.0,1.0,2,0,Folks too picky😊
@cmearl2009,Neutral,0.0,0.0,0.0,1.0,0,0,This is the step daddy Xmas edition
@saintwah,Positive,0.0516,0.226,0.175,0.598,0,0,This might be the worst episode of Pop The Ballon ever lol like what was this casting
@isiahbogan6009,Neutral,0.0,0.0,0.0,1.0,0,0,lady's give these OGs a break
@travisaustin827,Positive,0.4404,0.367,0.0,0.633,0,0,This 1st lady was all good
@MMHrtSol,Neutral,0.0,0.0,0.0,1.0,0,0,Go ahead doctor and comedian...they both were genuine
@Goddess118,Positive,0.2058,0.293,0.201,0.506,1,0,This pop balloon shows are honestly starting to become more like a humiliation ritual
@korruptnovellst4751,Neutral,0.0,0.0,0.0,1.0,1,0,What type work out this leather jacket talkin bout
@Ambless2383,Negative,-0.6597,0.157,0.358,0.485,0,0,"That fool did not come to find love , he attended to advertised his selfish ways . Full shit."
@ClearThirty,Neutral,0.0,0.0,0.0,1.0,0,0,Technical operations supervisor. What is that 😂😂😂😂😂😂😂  salute to my boy.
@reflection_8_,Negative,-0.34,0.099,0.182,0.719,0,0,Women in their 20s and 30s think life will all be good until they hit 40 and end up single alone depressed with rats
@OrchidCoded18,Negative,-0.5106,0.0,0.088,0.912,0,0,GIRL... 29:42 Gary Overton didn't say anything about accountability. Ingram Jr. is the one that mentioned not taking accountability. 27:03 Maybe her relationship failed because she didn't take accountability for not being an attentive listener.
@B0OBIES,Neutral,0.0,0.0,0.0,1.0,0,0,Marry Christmas  Mrs Arlette ❤
@SchoolVideosGoHere,Negative,-0.4767,0.178,0.376,0.446,0,0,"37:48 ""I'll drop one in you tonight"" Ayo wtf lol"
@DC_DaDon,Positive,0.3818,0.474,0.0,0.526,0,0,Green dress was fine fine 🔥🔥🔥
@judi9126,Negative,-0.68,0.0,0.365,0.635,4,0,The pink dress question about dead wives was creepy!
@KingLamarQuinton,Positive,0.4019,0.351,0.0,0.649,1,0,1:14:05 Lord help this woman 😂🤦🏾‍♂️🤦🏾‍♂️
@robthestylist,Positive,0.3365,0.544,0.0,0.456,0,0,Gary is fine!! 😩
@barberchris6981,Positive,0.8176,0.226,0.051,0.723,1,0,"Funny built leather jacket dude talking bout green girl look older than 40, she's gorgeous and does not look older than 40. He knew he had no shot so he tried throwing some shade lol"
@casey5535,Neutral,0.0,0.0,0.0,1.0,0,0,"Arletti""s facial expression at 1:27 sent me. 😅😅"
@GrizzlyEats,Negative,-0.1531,0.0,0.065,0.935,0,0,shawty in the green preaching exercise and no waist trainer but had full lips and tummy tuck on her stomach.. 😂 what are doing man
@TommiSherrel,Negative,-0.5994,0.0,0.159,0.841,3,0,The first guy is a mess. Why does he have to announce he's his father's only child and continuing to say he would give the women a child is crazy
@JLoveReacts,Positive,0.5423,0.778,0.0,0.222,1,0,Merry Christmas
@Always3ada33,Positive,0.4215,0.259,0.0,0.741,0,0,So the first guy isn’t Roy Jones Jr.? Lol
@Zionmuzix,Neutral,0.0,0.0,0.0,1.0,0,0,MEET THE BROWNS
@rsm5627,Neutral,0.0,0.0,0.0,1.0,0,0,First guy is not it.
@aragsanali1411,Neutral,0.0,0.0,0.0,1.0,0,0,20:54 😮🤦🏽‍♀️
@lolitacleo,Neutral,0.0,0.0,0.0,1.0,2,0,"The first guy, the only son of his father is full of BS 😂"
@Soufside_Slim,Positive,0.4199,0.482,0.0,0.518,0,0,I like the last two!
@gabz2214,Positive,0.7717,0.456,0.0,0.544,0,0,Grandma in blue turning up ready for love again i see
@cerenad6561,Neutral,0.0,0.0,0.0,1.0,0,0,"The ""Why Did You Pop Your Balloon"" show!🎈"
@DaniellesDream,Negative,-0.5267,0.0,0.139,0.861,1,0,This gotta be the revenge of the “Uncs” 😂😂😂 because who these ultra grown a$$ men think they are🫩🫩 and Brandon gtfoh🤓🤣🤣🤣🤣
@elektracompany,Neutral,0.0,0.0,0.0,1.0,1,0,The physician is absolute wife material.
@cb4664,Negative,-0.4588,0.083,0.194,0.722,0,0,Physician: “I popped because you seem ambivalent “ dude in the pleather: *blank ass stare 😂😂😂
@mina.lord.commander8804,Neutral,0.0,0.0,0.0,1.0,0,0,I guess Cane Tejada showing up to pop balloons  means he's done with Effie 😅
@Steph-fy2rg,Positive,0.6486,0.16,0.0,0.84,1,0,"Sister in the green. I get it, you want someone fit, I would not had led with that … only because, you got a tummy tuck/lipo with fat injections and that’s why it looks like you have a waist trainer on."
@trista_official,Neutral,0.0,0.0,0.0,1.0,0,0,Dude in leather saying she’s not fit… what is he
@The_Humble_Hurricane,Negative,-0.9614,0.024,0.154,0.823,1,0,"27:59 This chick really just asked these men to focus on 3 things THEY needed to work on or do better from the past relationships..which is already crazy because you're just automatically forcing 3 issues for the sake of the question when in reality they could have been doing fine and just got cheated on smh but anyway.  She asked that specific question, then actually volunteered to answer it herself, just to have the nerve to be typical abd deflect to blaming the man anyway 🙄 😒 🤦🏿 you can't make this shit up. Men are DREAMING of the rare women that accountability seriously, so she had our attention with that being her focus....just to STILL not take accountability 😂smh 

""My wrong was not realizing I was right ""😂

man gtfoh😅"
@Rumbu_P,Negative,-0.5848,0.0,0.159,0.841,1,0,14:27 you wanker! This line lady use that always gets to me. 99% of relationships don't start with people having butterflies.
@jabria.k9309,Neutral,0.0,0.0,0.0,1.0,1,0,The line up 🗑️🗑️🗑️🗑️🗑️🗑️🗑️🗑️🗑️🗑️🗑️🗑️
@Janeseym,Neutral,0.0,0.0,0.0,1.0,0,0,The first girl had to be PREGNANT…did you see that stomach.
@caramelkimmiekim8272,Positive,0.4404,0.266,0.0,0.734,0,0,52:07 Her and the pastor would look good together
@rtscycling,Positive,0.0772,0.157,0.0,0.843,0,0,Pastor said he want green dress period hahahaha
@LouieTheBoxer,Positive,0.5423,0.368,0.0,0.632,0,0,"Green dress talks too much. 
Merry Christmas. 🎄 🤒 🤧"
@neilrichardson7454,Positive,0.7177,0.555,0.0,0.445,1,0,These women are so beautiful 😊
@Notorious585BadGuy,Positive,0.128,0.139,0.114,0.746,0,0,50yr old thought her body was gonna get her a man lol these older women are lost today
@blackrain6ft5,Positive,0.296,0.168,0.118,0.714,0,0,How they let that gorgeous red stallion in all black get away because of distance? These guys are lame.
@personalcharm1,Positive,0.3612,0.152,0.0,0.848,0,0,the men with black shirt with the 💪 look like the older brother of jason luv
@haroldw8253,Neutral,0.0,0.0,0.0,1.0,0,0,Whose is watching to make comments and looking for likes... nothing else? If asked what was the show about today. They'll start speaking  in tongue and singing  hymns!
@coachempress,Neutral,0.0,0.0,0.0,1.0,1,0,First guy 🤮🤮🤮🤢🤢🤢
@barryw8011,Negative,-0.2537,0.126,0.184,0.69,0,0,The one lady needs to get grief counseling. She's not over losing her husband
@RichBlackman-bj2wd,Negative,-0.5499,0.0,0.124,0.876,1,0,"Green dress was the finest 1, but this 1 that's half a 100, with all these standards is insane,  20 year vehicle with over 250,000 miles on it."
@rtscycling,Neutral,0.0,0.0,0.0,1.0,0,0,Pink dress all over the place
@MsElise-m2o,Negative,-0.8514,0.083,0.233,0.684,0,0,"Why she against divorce and if the woman still living.  That was a stupid question.This lady is WEIRD. Girl go home.... Thats why you single. She so contradict herself, stuttering. She need Jesus for real, she either  confused about life or  just confused. Bless her heart. I hope she find her single, never been  in a relationship Prince."
@boydbensonkayombo6741,Positive,0.5719,0.316,0.0,0.684,12,0,The software Engineer and the doctor that's a perfect match.
@xxthe.doodlerxx622,Positive,0.3818,0.102,0.0,0.898,1,0,"only son guy and all leather guy were all major red flags, and lady in pink asking whether their exes were alive was just...intense"
@doncajas6511,Positive,0.4404,0.42,0.0,0.58,1,0,Arlette you gotta do better.
@MojcaGrah-rn2ju,Negative,-0.5106,0.176,0.246,0.578,1,0,The pink flower dress talked likes she would prefer a widower and not a divorced man. So if the ex dead its okey haha wtf
@26ccw,Negative,-0.1779,0.252,0.4,0.348,0,0,"Smh, I lost hope in dating now😳🥴 🫣😅😢🤦🏾‍♀️"
@TheSlimThickness,Negative,-0.4767,0.0,0.341,0.659,2,0,The 1st dude is old and gross.
@SBPSTYLES,Positive,0.5893,0.353,0.0,0.647,0,0,TALK TO ME NICE. Say dat Sis! 😂💯
@ifyoucantmexiCAN...9948,Neutral,0.0,0.0,0.0,1.0,2,0,"Will somebody tell that 50 Cent wanna be, he's just a quarter!😅"
@anitaroberson5270,Negative,-0.6249,0.0,0.145,0.855,2,0,Brandon need to sit his pleather wearing sloppy no talking self down the way he came at the lady in the 2nd dress talking about she look older.  His butt was intimidated
@edencosta366,Negative,-0.4019,0.0,0.278,0.722,0,0,"""my father's only son"" that's annoying to hear😅😅"
@caramelkimmiekim8272,Negative,-0.1531,0.0,0.211,0.789,1,0,I see why she's single too aggressive 47:48
@aagje-aag,Positive,0.1511,0.045,0.0,0.955,0,0,Saying “I just wanted to hear what he’s/he wanted to say” should not be an answer. We are ALL here to see what they want to say… what ELSE made you NOT pop… come on!
@Red-lu3ku,Negative,-0.7088,0.0,0.329,0.671,1,0,What is wrong with some of my bros?  Some of these responses are ridiculous!
@ClearThirty,Positive,0.6361,0.267,0.086,0.647,4,0,Comedian looks very fun. The minister stuck on the flesh of the woman in the green is crazyyyyyyyyy
@Fluffy44-c7u,Positive,0.5848,0.558,0.0,0.442,1,0,Merry Christmas Eve Everyone!
@jackoatz,Positive,0.7964,0.33,0.086,0.584,4,0,1:44:25 glad that brother found a match. He was the only completely normal guy up there. Goodness gracious what a mess of a lineup.
@slide_vr9591,Neutral,0.0,0.0,0.0,1.0,0,0,Arlette u wearing that dress girl
@Me-iy4zu,Positive,0.4199,0.117,0.064,0.819,1,0,"Lady in green (Ms Real state), really!  Get in that gym and return to therapy.  Your too masculine, get a dog / cat and happy life...  Fellas, you missed a bullet with a yaper."
@Msbusinesss,Positive,0.9548,0.343,0.0,0.657,0,0,"Naw fitness is definitely a look! Girl in the green.,... Fit people look fit, if you thick its cz too much food. She's super beautiful and body looks amazing but when someone is fit and always in the gym it will show. She can just say she likes to workout NOW"
@Ciiaraa1,Positive,0.7405,0.84,0.0,0.16,0,0,Great episode!!!!!
@SashaBloomG,Negative,-0.6107,0.156,0.239,0.605,1,0,"The Lady in Green feels very condescending and extremely tense. I understand the need to maintain clear standards, especially at a certain age. Unfortunately, she comes across like a stressful job interview, one in which you could never win."
@danielghebru7067,Positive,0.3612,1.0,0.0,0.0,0,0,Like
@AJustice-j2t,Neutral,0.0,0.0,0.0,1.0,1,0,Chubby guy in leather is such a hole
@rodz9393,Positive,0.3578,0.262,0.0,0.738,0,0,What a episode! Last girl was straight up FIYAHHH!
@danielghebru7067,Neutral,0.0,0.0,0.0,1.0,0,0,Way too many uncs
@NotYourMama916,Negative,-0.4753,0.0,1.0,0.0,0,0,Ugh!
@VSGLife,Positive,0.5871,0.227,0.0,0.773,0,0,"OK, this might be the 1st OH D match on “Pop the Ballon history!!! 🎈❤️🙌🏾💪🏽🙏🏾😊"
@Trulaw13,Negative,-0.6124,0.0,0.25,0.75,4,0,This guy wearing a 1990s Jodeci “tell me what you want” leather outfit😂 I’m crying real life tears
@deb1920,Positive,0.4215,0.116,0.0,0.884,0,0,"You all keep saying people have the same answers. What hobbies or alternative answers do you all want people to have? ""I like to swim in the pools of Jupiter."" 🤔🤣"
@MariannaJaward,Negative,-0.34,0.0,0.179,0.821,1,0,The dude in the blue suit is crazy over the green she 🎄
@MrIBugg,Negative,-0.7316,0.0,0.321,0.679,0,0,Juvenile told her to back that ass up so he could drop a baby in it! 😂
@caramelkimmiekim8272,Neutral,0.0,0.0,0.0,1.0,1,0,42:26 Ma'am they popped their balloons cause you cannot have babies at your age #50
@GatorDrew727,Negative,-0.1779,0.0,0.108,0.892,0,0,This first guy is an absolute clown and I’m a man. This dude is weird af.
@shaunagibson4704,Positive,0.5994,0.121,0.039,0.84,2,0,Asking about flaws is such an important question because you get to see the lack of self awareness in real time. Half the men didn’t even mention any flaws about themselves and made it seem like their flaws were that their heart was too big or they were too much of a good person 😂😂😂
@bre-3271,Neutral,0.0,0.0,0.0,1.0,0,0,My father only son is burning me out!!
@diggetth1397,Negative,-0.2344,0.079,0.112,0.808,0,0,Green dress had a mommy makeover to be able to compete with those young chicks in Atlanta. 😂   She not fooling anyone and her dm's are fool!
@astoldbymuriel103,Negative,-0.5994,0.0,0.163,0.837,0,0,"1:17 In Christianity some believe your first wife/husband is your spouse. Divorce is not recognized. Hence ""until death do us part"""
@danielle5391,Positive,0.6666,0.389,0.0,0.611,0,0,Green dress is very intentional & purposeful. I love it💚✨
@irene_defined4681,Positive,0.6988,0.489,0.0,0.511,1,0,I love the older folk episodes Arlette!!
@KahlisLong,Neutral,0.0,0.0,0.0,1.0,0,0,As Christians we have to understand how to feed people milk
@deykno87,Neutral,0.0,0.0,0.0,1.0,0,0,Last girl def chasing clout with those leggings
@elainemedlock2070,Neutral,0.0,0.0,0.0,1.0,0,0,"I can hear Kevin Samuels ""BUY A DOG!"
@Privykennedy,Neutral,0.0,0.0,0.0,1.0,0,0,Widow lady...something's going on there.
@vanezafigueroa3471,Negative,-0.5983,0.0,0.245,0.755,0,0,Brandon 40!  RIP to all the cows that died for his outfit 😂😂😂😂
@hannahtromb,Positive,0.7501,0.33,0.0,0.67,1,0,Women in the green dress educated and handled it well. Also she’s absolutely gorgeous 👏🏼
@alldaytay901,Neutral,-0.0258,0.054,0.057,0.889,0,0,Whats yall thoughts about the widowed woman? I think she had good intentions and I understood where she was going but the attention span is short and this is kind of speed dating level type show
@tumadre295,Neutral,0.0,0.0,0.0,1.0,1,0,Counsel is corny af
@LifeAsArika,Neutral,0.0,0.0,0.0,1.0,0,0,"37:48 oh my goshhh, I'm rolling on the floor 🤣🤣🤣🤣🤣🤣"
@caramelkimmiekim8272,Negative,-0.2732,0.0,0.116,0.884,3,0,How you gone drop a baby in her tonight and you don't even know her😅these dude cra cra
@ivirGQ,Neutral,0.0,0.0,0.0,1.0,0,0,I’m only at the intro and I already know how this feels episode gone to seeing the line up
@mariebrown4458,Negative,-0.54,0.0,0.132,0.868,0,0,Whew After This One I Need To Go Lay Down 😵Got So Tired Of Listening To These Old Folks Don't Bring Any Of Them Back!🥴🥴🥴😵‍💫😵‍💫😵‍💫😵😵😵
@chocolatecoils8200,Neutral,0.0,0.0,0.0,1.0,0,0,Arlette is serving all the looks with the hair behind. Period
@TheFlyCrew02,Positive,0.34,0.211,0.0,0.789,4,0,Council is giving Bruh man from the fif floor 😂😂
@nicolechkw,Positive,0.3947,0.17,0.0,0.83,0,0,Omg the way he really tried to play with the lady in the green😭😭
@IamChristinaaaaaaaaa,Neutral,0.0,0.0,0.0,1.0,1,0,The first Guy is so corny 😭
@remymartn5640,Negative,-0.3412,0.0,0.286,0.714,0,0,Nothing better than a woman with a dope personality.
@donovanc.7484,Neutral,0.0,0.0,0.0,1.0,0,0,Need some younger ladies for these guys. And they're out there. Age range between 35-40
@laurenraqueldeniese,Positive,0.814,0.114,0.041,0.846,0,0,"Start lining up these men with women they find attractive. And start lining the women up with men they find attractive. Every time it’s a large group of attractive men, the women are never up to the same standards. Every time it’s a nice group of young of average age women, that look nice, then the men that come out look crazy or they aren’t attractive. You keep doing stuff backwards. You are lining up people who don’t match. Now watch the next group of women on the next episode, be women, men in this lineup would’ve picked. But those women will be given men that come out that they’re not going to be attracted to! SMH! You keep putting people together on the same episodes who don’t match at all!"
@babysof2266,Positive,0.5994,0.302,0.0,0.698,0,0,Arlette you look beautiful sis. You are wearing that dress🎉
@carenbutler5376,Positive,0.743,0.759,0.0,0.241,0,0,Happy Holidays Arlette & BM ❤
@1Jacuzi,Neutral,0.0,0.0,0.0,1.0,0,0,its  with these old man
@mts4611,Positive,0.3751,0.093,0.049,0.858,1,0,I find it interesting that the ONE person who is an actual foster have an issue with guys who take on being in the life of a child they were previously connected with. Her entire ROLE is fostering lol. I would've expected that response from someone with NO kids or maybe adult ones already out the house.
@phadeethephoenix,Positive,0.8885,0.183,0.03,0.787,2,0,"Dude popped on the girl with green because he’s insecure about his weight. Period. Point blank. And then tried to eat with the “waist trainer” comment. When he should have one on is beyond me. But she kept it real classy and cute. 

I bet his father wish he had another son because why ?"
@ToddSaysJump,Negative,-0.296,0.0,0.099,0.901,2,0,"Man for the last dmn' time ladies, stop including HEELS within your height, you were not born with those heels on."
@calebmissions1,Neutral,0.0,0.0,0.0,1.0,0,0,The lady who is the comedian....did she say that her deal breaker is improper English?  I guess her dealbreaker doesn't apply to her.
@LPAFilm,Positive,0.5994,0.205,0.0,0.795,1,0,"Mr. Theology and the Pastor were LUSTING, just DROOLING over Green dress and the last one...talkin about god fearing...damn demons lol"
@BigBell92FuelGod,Positive,0.4404,0.367,0.0,0.633,2,0,Juvenile up there funny af 😂😂
@Nelly-d5h7z,Neutral,-0.0258,0.107,0.111,0.782,1,0,The first and fifth guy was annoying. That woman that asked about the ex wife being alive was very mixed up.
@Tonay1999,Positive,0.5371,0.253,0.092,0.655,1,0,It is hard to date after 30.  I am so glad I am married.
@tee5174,Neutral,0.0,0.0,0.0,1.0,0,0,They look afraid of the lady in the pink dress. She is wayyyyy too nervous..
@deb1920,Negative,-0.3089,0.0,0.089,0.911,0,0,Mr. I'm My Father's Only Son says that if he's not genuinely interested in the woman. He's not a clown for the women he wants.
@myloa.3694,Negative,-0.0951,0.0,0.102,0.898,1,0,58:22 is the face of a man who doesnt know what ambivalent means 🤣🤣🤣🤣
@lionswhelp6025,Neutral,0.0,0.0,0.0,1.0,0,0,The first guy might be the corniest guy to ever come on the show.
@1Lanice8,Positive,0.7184,0.23,0.137,0.633,0,0,"“Theres a high supply in demand, the man makes the plan. & i wish you were ready to have some kids because I would drop one on you tonight” UMMM SIRRRRRR LMAO FATHERS ONLY SON CUTTING UP"
@soko7125,Neutral,0.0,0.0,0.0,1.0,0,0,49:30 am 45 years young😂😂😂
@BehindTheMillions97,Neutral,0.0,0.0,0.0,1.0,1,0,""" I am my father's only Son"" bro we get it"
@hildaackah8678,Neutral,0.0,0.0,0.0,1.0,0,0,How the 40 year old guy be looking older than the rest who are older though?
@Augusta_Lamar10,Neutral,0.0,0.0,0.0,1.0,2,0,Pink lady wants a widower ? 😮
@B.reid7,Positive,0.3612,0.2,0.0,0.8,1,0,My fathers only son dressed like he on a bowling team 😭💀😭😭
@WiltonGreene-i8x,Positive,0.2235,0.191,0.0,0.809,0,0,Aint no way they let the tall redbone go
@BlessedEnergy_,Positive,0.6774,0.21,0.0,0.79,0,0,"That black king in the black collar with the tan slacks 😮😮😮 so fine, the mustache is sending me 😍 😢😢😢😢 handsome self ❤❤❤❤❤❤"
@wisdomnuggets.2025,Positive,0.9148,0.457,0.0,0.543,0,0,"Sace the best for last! I really hope it works out for the last match! Merry Christmas, everybody! ❤"
@007vrsika,Neutral,0.0,0.0,0.0,1.0,0,0,"50 Cent, 21 question 😂😂😂😂"
@GoddessYvonne3,Negative,-0.4767,0.0,0.341,0.659,0,0,Aaaawww the lady in pink ruined it
@Franky.o2699,Positive,0.4215,0.203,0.0,0.797,0,0,1:44:18 bro matched with a high ranking priestess of the jezebel faith 😅😅😅
@Rebelle07,Positive,0.296,0.225,0.0,0.775,0,0,“My children come from a marriage” okay and he still didn’t want you sis 💙
@karmahLove,Positive,0.6868,0.586,0.0,0.414,0,0,43:14 Arlette is like ok annnddddd????🤣🤣🤣🥱
@jonathanyorks4650,Positive,0.8118,0.146,0.039,0.815,0,0,The lady talking bout devorce and widdow….she is right but I think she skipped the part where it said  God does not like it if people devorce but if it does not work then God has other plans for the person. Even her begin a widdow..God has maybe another person planned but she does not realise it and skipped on blessings. #smh
@Happiness-t4n,Negative,-0.5423,0.0,0.304,0.696,1,0,Pink dress is a walking Fatal Attraction.. she’s cray crayyyyyyyy
@Snow-fy5wv,Positive,0.5248,0.196,0.0,0.804,1,0,Thank you for putting age appropriate people on the show we dont need no immature 20 year olds on here
@Watch272,Positive,0.7933,0.365,0.0,0.635,1,0,"Brother, you should know she wasn't painting no damn house. Look at her lmao. Come on, brother"
@The_Lens_Of_K,Negative,-0.5255,0.0,0.104,0.896,1,0,The 49 year old with the black shirt (Mr. Swole) 🙄 needs to seriously get his name and record checked because he may have done some crazy stuff in the past. TBH Dude really wanna date his self if he could!
@WiltonGreene-i8x,Positive,0.2225,0.191,0.0,0.809,2,0,I changed my mind. I want the tall redbone with glasses!! 🤤
@tasheenageorge4044,Negative,-0.5106,0.0,0.355,0.645,1,0,1st guy been to prison. I can tell
@breakfastfoodswelcome3232,Negative,-0.8176,0.053,0.242,0.705,1,0,"That man in the leather jacket was soooo nasty. ""I would have given her more than 41"" he insulted her looks. Her fitness level. Damn near everything and it was all assumptions"
@LPAFilm,Positive,0.2083,0.11,0.091,0.8,0,0,"I wonder are people generally this nervous in front of cameras or are they also like this even without cameras and trying to date...there are studies that covid lockdowns affected people's ability to socialize...speak to each other, eye contact etc"
@tammygallardo2168,Neutral,0.0,0.0,0.0,1.0,0,0,I think the lady in the pink dress might just be on the spectrum.
@kabahindajoan9611,Negative,-0.3182,0.077,0.154,0.769,1,0,"""My father's only son"" does he think we want to fight for his father's inheritance?😂😂😂😂😂"
@jimmykatowa7996,Neutral,0.0,0.0,0.0,1.0,0,0,However...🥵
@atthismoment3006,Negative,-0.5345,0.0,0.535,0.465,0,0,Counsel is so WEIRD!
@emyemy7504,Positive,0.5499,0.212,0.07,0.718,1,0,I love the energy of that 50 years old woman. Too bad she is already 50 but she has the energy to bring any man back to live
@Carlos-pi4xx,Positive,0.6249,0.264,0.0,0.736,10,0,They get bbls and turn into fitness gurus foh my man measured that elbow fat and said yeah she playing 😂
@LPAFilm,Positive,0.743,0.412,0.0,0.588,2,0,Justice for the women on this episode...they needed a better line up....ICK...lol
@Gollybone,Negative,-0.6369,0.0,0.318,0.682,5,0,"Pink dress crashed and burned spectacularly, doomed by a thousand blunders."
@Thenegrowhoisfree,Positive,0.5994,0.565,0.0,0.435,0,0,1:24:07 she is beautiful.
@kaylasong10,Positive,0.9562,0.135,0.085,0.78,0,0,"Speaking for the lady in the pink, for those who don’t understand. I knew exactly what she was getting at when she asked the question about if they have ever been married and if so, if the wife is still living. She was very nervous she did not want to offend anyone, but if you remarry someone who is divorced, and their spouse is still living, the Bible does note that it is a sin. Now, that doesn’t mean there aren’t grounds for divorce, that being adultery and another being that if one of the people in marriage is an unbeliever and wants to leave, then the believing spouse should let them. However, it says those are grounds for divorce, not remarriage and to remarry a divorce person is adultery as the Bible says that you will be bound to that person you marry, for as long as you live. It’s definitely offensive but a lot of the Bible is because it speaks against the direct things that our flesh loves and some of our current lifestyles. To really walk this walk is no joke! So I get why she was nervous to say it. I agree with her though but they didn’t understand due to her not being able to explain it out of fear. Also folks, please read the Bible and seek truth for yourself, I love the Lord and honor His Word and respect his creation and don’t want to lead anyone astray if I did not articulate the Word correctly."
@StephanieCleans,Negative,-0.6636,0.0,0.141,0.859,2,0,Why do they look at the camera instead of the person when being asked a question about themselves? It’s so annoying! We’re home just watching… why you telling us?!
@thugga56ace,Neutral,0.0,0.0,0.0,1.0,0,0,1:15:00 lady did u murk your husband??
@calimade8136,Negative,-0.5574,0.0,0.419,0.581,3,0,Leather coat in villain mode 😂😂
@essiejames9492,Negative,-0.1476,0.2,0.173,0.628,0,0,God recognizes divorce read Matthew  5:27 people need to know more if you divorce someone because of that person committing sexual sin like having an  affair on their spouse thank God the woman in the pink was not ready to love
@chillspot8980,Negative,-0.4215,0.0,0.259,0.741,0,0,Clock that... that's her waste and her eyebrows dudddddeeee
@purplemoneyhoney,Positive,0.2023,0.154,0.105,0.741,2,0,The guy in the leather jacket looks like he hides pickles under his tongue
@Sarahsmiles99,Positive,0.6705,0.205,0.06,0.735,5,0,"Green Dress looks like she’s been on a mission of weight loss Journey.  She’s Healthy now and obviously put a lot of work on personal growth. 
She knows Exactly what she wants and deserves."
@ivanjuarez1160,Neutral,0.0,0.0,0.0,1.0,33,0,“I ain’t even said nothing yet “ 😅
@laurapreciado2385,Neutral,0.0,0.0,0.0,1.0,0,0,The second lady with the Green dress gave me the high cortisol vibes
@mts4611,Positive,0.678,0.241,0.089,0.67,3,0,"I LOVE 4th girl's personality. (orange/blue hair) LOL. I mean I know she's a comedian, but that profession doesn't always match the personality. There have been a few on here who actual personality suck but she seems hella cool."
@alexanderkenniethbam,Neutral,0.0,0.0,0.0,1.0,1,0,Black never crack!
@chillspot8980,Neutral,0.0,0.0,0.0,1.0,0,0,Wowwwwww
@TeddyVAC,Negative,-0.9037,0.0,0.184,0.816,1,0,1:16:32 she’s trying to say that it’s “ UNTIL DEATH do us apart” which shouldn’t be disavowed ACCORDING to biblical references. BUT she shot herself in the foot. BECAUSE social media would’ve questioned WHAT ABOUT abusive marriages?? WHEN she realized her FAUX PAW thats when her nerves got to her. BECAUSE All relationships including marriages have an end date 😊
